date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:45	36285/36285	---MCZ	200	added ('OK')	text/html	etag:%22fa4e1ab9b7f5b6c445655783a8bcb45e-ssl-df%22	https://appstack.bootlab.io/forms-layouts.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-layouts.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:46	35931/35931	---MCZ	200	added ('OK')	text/html	etag:%227cffd02f48a9a7ff200b97b722343873-ssl-df%22	https://appstack.bootlab.io/forms-basic-inputs.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-basic-inputs.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:48	38167/38167	---MCZ	200	added ('OK')	text/html	etag:%2203da4fab37db0dc85cff9260b7496f29-ssl-df%22	https://appstack.bootlab.io/forms-input-groups.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-input-groups.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:49	31780/31780	---MCZ	200	added ('OK')	text/html	etag:%22c062fa1c63394326240e530a57897f0d-ssl-df%22	https://appstack.bootlab.io/forms-floating-labels.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-floating-labels.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:50	44178/44178	---M-Z	200	added ('OK')	text/html	etag:%2248d6d69b4cb0ff35592023f8290dd322-ssl-df%22	https://appstack.bootlab.io/tables-bootstrap.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-bootstrap.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:52	43111/43111	---MCZ	200	added ('OK')	text/html	etag:%2284424dc2ed06815f96caa38a0458e3f9-ssl-df%22	https://appstack.bootlab.io/forms-advanced-inputs.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-advanced-inputs.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:53	33260/33260	---MCZ	200	added ('OK')	text/html	etag:%2222feedd0f10c6ac4ca4ee4d2edee3b8a-ssl-df%22	https://appstack.bootlab.io/forms-editors.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-editors.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:55	39709/39709	---MCZ	200	added ('OK')	text/html	etag:%22b37d158fdd001c53375c3abafccce956-ssl-df%22	https://appstack.bootlab.io/forms-validation.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-validation.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:56	41385/41385	---MCZ	200	added ('OK')	text/html	etag:%224caed4afce4dfdb7c4428c3e170294d6-ssl-df%22	https://appstack.bootlab.io/forms-wizard.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/forms-wizard.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:58	42832/42832	---MCZ	200	added ('OK')	text/html	etag:%2264bdcfa055e4d3c9fb1c4edeba7c733c-ssl-df%22	https://appstack.bootlab.io/tables-datatables-responsive.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-datatables-responsive.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:35:59	43015/43015	---MCZ	200	added ('OK')	text/html	etag:%225067f7fa202c5a9cb9cba8b6b88142ef-ssl-df%22	https://appstack.bootlab.io/tables-datatables-buttons.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-datatables-buttons.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:01	58520/58520	---MCZ	200	added ('OK')	text/html	etag:%22304eae6b93194b484cd0ba8de1aa4a51-ssl-df%22	https://appstack.bootlab.io/tables-datatables-column-search.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-datatables-column-search.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:03	42913/42913	---MCZ	200	added ('OK')	text/html	etag:%2209152771ad31d1ef7e4f346aca5fcb84-ssl-df%22	https://appstack.bootlab.io/tables-datatables-fixed-header.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-datatables-fixed-header.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:04	43051/43051	---MCZ	200	added ('OK')	text/html	etag:%223915029f4cc2aa75b1e631ad0d14cd0b-ssl-df%22	https://appstack.bootlab.io/tables-datatables-multi.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-datatables-multi.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:06	30225/30225	---MCZ	200	added ('OK')	text/html	etag:%2268f30368d9d9a4406b6336c734de4dfa-ssl-df%22	https://appstack.bootlab.io/tables-datatables-ajax.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/tables-datatables-ajax.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:07	36796/36796	---MCZ	200	added ('OK')	text/html	etag:%223a460c24480750e94609573010b8799e-ssl-df%22	https://appstack.bootlab.io/charts-chartjs.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/charts-chartjs.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:09	44456/44456	---MCZ	200	added ('OK')	text/html	etag:%2277b1cc7740ed1a1f79883a2b6e16bf3c-ssl-df%22	https://appstack.bootlab.io/charts-apexcharts.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/charts-apexcharts.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:10	33603/33603	---MCZ	200	added ('OK')	text/html	etag:%22199fe996db4c65851f417a2b0f8bd2fa-ssl-df%22	https://appstack.bootlab.io/notifications.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/notifications.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:12	36982/36982	---MCZ	200	added ('OK')	text/html	etag:%2204001407080fa6d3dff27da600a2d2e3-ssl-df%22	https://appstack.bootlab.io/maps-google.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/maps-google.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:14	32818/32818	---MCZ	200	added ('OK')	text/html	etag:%22e6bb0bee99849a8ba84e14d751416d8c-ssl-df%22	https://appstack.bootlab.io/maps-vector.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/maps-vector.html	(from https://appstack.bootlab.io/dashboard-default.html)
10:36:15	30201/30201	---MCZ	200	added ('OK')	text/html	etag:%224518615933b984d722ebc7ff337934fb-ssl-df%22	https://appstack.bootlab.io/calendar.html	D:/New%20folder/new-proj/temp2/proj2/appstack.bootlab.io/calendar.html	(from https://appstack.bootlab.io/dashboard-default.html)
